;AET (kcal/j);Lipides (g/j);AGMI (g/j);AGPI (g/j);AGS (g/j);Protides (g/j);Glucides (g/j);Amidon (g/j);Glucides simples (g/j);Alcool (g/j);Fibres (g/j)
Pain et panification sèche;317,3;2,2;0,4;0,6;0,4;9,9;64,4;61,3;2,9;0,0;3,6
Céréales pour petit-déjeuner;18,7;0,3;0,1;0,1;0,2;0,5;3,5;2,2;1,2;0,0;0,3
Pâtes;43,6;0,3;0,1;0,1;0,1;1,5;8,8;8,6;0,2;0,0;0,6
Riz et blé dur ou concassé;31,3;0,1;0,0;0,0;0,0;0,7;6,9;6,9;0,0;0,0;0,2
Autres céréales;1,3;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,0;0,0;0,0
Viennoiseries;46,3;2,2;0,6;0,2;1,1;0,9;5,7;4,9;0,8;0,0;0,3
Biscuits sucrés, salés et barres;42,7;1,8;0,6;0,2;0,9;0,6;6,0;3,6;2,4;0,0;0,3
Pâtisseries et gâteaux;129,3;6,0;1,7;0,5;3,3;2,1;16,7;7,2;7,7;0,0;0,7
Lait;42,5;1,4;0,4;0,0;0,9;3,3;4,1;0,0;4,1;0,0;0,0
Ultra-frais laitier;63,6;2,3;0,6;0,1;1,4;3,7;6,7;0,0;6,6;0,0;0,1
Fromages;109,9;8,8;2,3;0,3;5,6;7,4;0,2;0,0;0,2;0,0;0,0
Œufs et dérivés;25,0;1,9;0,8;0,3;0,6;1,8;0,1;0,0;0,1;0,0;0,0
Beurre;76,7;8,4;2,2;0,3;5,7;0,1;0,1;0,0;0,1;0,0;0,0
Huile;95,8;10,6;6,1;2,9;1,4;0,0;0,0;0,0;0,0;0,0;0,0
Margarine;23,7;2,6;0,8;0,9;0,8;0,0;0,0;0,0;0,0;0,0;0,0
Autres graisses;1,1;0,1;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0
Viande;97,2;5,1;2,3;0,4;2,0;12,6;0,1;0,1;0,1;0,0;0,0
Volaille et gibier;58,2;2,8;1,1;0,6;0,8;8,2;0,0;0,0;0,0;0,0;0,0
Abats;5,0;0,2;0,1;0,0;0,1;0,7;0,1;0,1;0,0;0,0;0,0
Charcuterie;89,0;6,9;3,1;0,8;2,7;6,3;0,5;0,2;0,3;0,0;0,0
Poissons;39,9;1,8;0,6;0,6;0,4;5,2;0,8;0,6;0,1;0,0;0,0
Crustacés et mollusques;4,8;0,1;0,0;0,0;0,0;0,8;0,2;0,1;0,0;0,0;0,0
Légumes (hors pommes de terre);41,0;1,3;0,5;0,3;0,2;2,1;5,2;1,3;3,9;0,0;3,3
Pommes de terre et apparentés;69,0;1,9;0,5;0,2;0,6;1,3;11,7;11,1;0,5;0,0;1,1
Légumes secs;8,9;0,1;0,0;0,0;0,0;0,7;1,4;1,3;0,1;0,0;0,6
Fruits;71,5;0,4;0,0;0,1;0,0;0,9;15,6;0,5;15,1;0,0;2,8
Fruits secs et graines oléagineuses;11,0;0,8;0,3;0,3;0,1;0,3;0,7;0,2;0,5;0,0;0,2
Glaces et desserts glacés;18,7;0,9;0,2;0,0;0,6;0,3;2,4;0,2;2,1;0,0;0,1
Chocolat;29,5;1,7;0,7;0,1;0,8;0,4;3,2;0,1;3,0;0,0;0,2
Sucres et dérivés;61,8;0,1;0,0;0,0;0,0;0,1;15,2;0,0;15,1;0,0;0,1
Eaux;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Boissons fraîches sans alcool;56,2;0,2;0,0;0,0;0,0;0,5;12,8;0,0;12,6;0,0;0,1
Boissons alcoolisées;102,9;0,0;0,0;0,0;0,0;0,3;2,9;0,0;1,7;12,9;0,0
Café;7,1;0,2;0,1;0,0;0,1;0,7;0,6;0,0;0,6;0,0;0,0
Autres boissons chaudes;11,1;0,2;0,1;0,0;0,1;0,5;1,9;0,1;1,7;0,0;0,2
Pizzas, quiches et pâtisseries salées;54,7;2,7;1,1;0,3;1,1;2,3;5,4;4,3;0,7;0,0;0,4
Sandwichs, casse-croûte;44,4;2,1;0,7;0,3;1,0;2,2;4,2;3,7;0,3;0,0;0,3
Soupes et bouillons;26,0;0,7;0,2;0,2;0,2;1,0;3,9;2,2;1,7;0,0;0,4
Plats composés;94,7;4,8;1,9;0,8;1,6;5,2;7,7;5,5;1,4;0,0;0,9
Entremets, crèmes desserts et laits gélifiés;37,7;1,4;0,3;0,1;0,8;1,1;5,2;1,2;4,0;0,0;0,1
Compotes et fruits cuits;11,2;0,0;0,0;0,0;0,0;0,0;2,7;0,0;2,6;0,0;0,2
Condiments et sauces;39,0;3,7;1,3;1,6;0,7;0,3;1,0;0,4;0,6;0,0;0,2
ADAP;2,7;0,1;0,0;0,0;0,1;0,2;0,3;0,0;0,2;0,0;0,0
