;Hommes 18-34;Hommes 35-54;Hommes 55-79;Femmes 18-34;Femmes 35-54;Femmes 55-79;Ensemble 18-35;Ensemble 35-54;Ensemble 55-79
Calcium (mg/j);1021,9;998;952,6;802,2;880;861,4;889,6;933,5;912,2
Cuivre (mg/j);1,5;1,6;1,6;1,1;1,4;1,4;1,3;1,5;1,5
Fer (mg/j);15;14,8;15,1;10,9;11,8;11,7;12,5;13,2;13,6
Iode (ug/j);136,5;138,9;132,7;107,8;119,3;122,5;119,2;128,2;128,2
Magnésium (mg/j);311,2;343,2;316,4;236,9;271,5;273,7;266,4;304;297,5
Manganèse (mg/j);2,8;3,2;3,2;2,4;2,9;2,9;2,5;3,1;3,1
Phosphore (mg/j);1507,7;1462,5;1374,9;1079;1150,6;1103,9;1249,5;1292,1;1254,8
Potassium (mg/j);3119,3;3348,3;3324,3;2371,8;2770,4;2880,8;2669;3032,7;3127,8
Sélénium (ug/j);58,3;59,5;58,5;44,1;48,8;49,9;49,8;53,7;54,7
Sodium (mg/j);3356,8;3498;3451;2542,2;2500,2;2566,7;2866,2;2953;3059,2
Zinc (mg/j);13;12,7;11,9;8,8;9,4;9,1;10,5;10,9;10,6
